Rubber Human
Mili
123 30 13 1000 2500 3200
0 2
0 4 
0 6 
0 8
1 10
3 12
1 14
2 16
3 18
3 20
0 22
0 24
2 26
2 28
2 30
2 32
1 34
3 36
2 38
3 40
0 42
3 44
1 46
0 48
3 50
1 52
2 54
2 56
3 58
2 60
2 62
1 64
2 66
1 68
0 70
2 72
1 74
2 76
3 78
0 80
0 82
1 84
3 86
1 88
0 90
3 92
2 94
2 96
1 98
0 100
3 102
3 104
2 106
2 108
3 110
0 112
3 114
1 116
0 118
2 120
3 122
1 124
2 126
0 128
1 130
0 132
2 134
2 136
2 138
3 140
0 142
3 144
3 146
2 148
1 150
0 152
0 154
0 156
3 158
3 160
2 162
1 164
2 166
0 168
3 170
0 172
1 174
3 176
2 178
0 180
0 182
1 184
2 186
2 188
2 190
2 192
0 194
3 196
1 198
3 200
2 202
2 204
3 206
2 208
3 210
3 212
0 214
2 216
0 218
2 220
1 222
2 224
0 226
1 228
3 230
1 232
0 234
2 236
2 238
2 240
0 242
2 244
1 246
2 248
0 250
1 252
3 254
2 256
2 258
1 260
0 262
2 264
2 266
3 268
1 270
1 272
1 274
0 276
3 278
2 280
1 282
0 284
0 286
1 288
2 290
3 292
0 294
2 296
2 298
2 300
0 302
3 304
2 306
0 308
1 310
1 312
1 314
0 316
3 318
0 320
1 322
3 324
3 326
2 328
2 330
1 332
3 334
1 336
0 338
0 340
3 342
0 344
3 346
3 348
1 350
0 352
3 354
0 356
3 358
0 360
3 362
1 364
1 366
3 368
1 370
0 372
0 374
3 376
3 378
1 380
3 382
0 384
1 386
3 388
0 390
1 392
0 394
1 396
1 398
0 400
3 402
2 404
1 406
0 408
3 410
0 412
0 414
3 416
0 418
3 420	
2 422
3 424
3 426
2 428
1 430
2 432
2 434
0 436
3 438
1 440
1 442
3 444
1 446
0 448
1 450
0 452
2 454
2 456
1 458
1 460
2 462
2 464
0 466
1 468
1 470
3 472
2 474
1 476
2 478
3 480
1 482
0 484
1 486
3 488
3 490
1 492
0 494
1 496
2 498
1 500
3 502
2 504
1 506
0 508
3 510
1 512
2 514
3 516
0 518
1 520
2 522
3 524
0 526
